search_stage,evaluation_split,n_clusters,aggregation,model,model_display,estimator_class,n_features,threshold,accuracy,roc_auc,f1,precision,recall,best_epoch
coarse,val,50,pca,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,50,0.5,0.6742788461538461,0.7464384994596345,0.6792899408284023,0.6768867924528302,0.6817102137767221,23
coarse,val,50,max,mlp,Neural Network,TorchRegularizedHybridNetClassifier,50,0.5,0.6021634615384616,0.6555183753200293,0.5968331303288672,0.6125,0.5819477434679335,16
coarse,val,50,max,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,50,0.5,0.6274038461538461,0.6837387520155348,0.6386946386946387,0.6270022883295194,0.6508313539192399,29
coarse,val,50,max,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,50,0.5,0.609375,0.677479757962446,0.6051032806804374,0.6194029850746269,0.5914489311163895,18
coarse,val,50,min,mlp,Neural Network,TorchRegularizedHybridNetClassifier,50,0.5,0.6730769230769231,0.7489062653512955,0.6625310173697271,0.6935064935064935,0.6342042755344418,19
coarse,val,50,min,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,50,0.5,0.6514423076923077,0.721448757737053,0.631979695431472,0.6784741144414169,0.5914489311163895,14
coarse,val,50,min,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,50,0.5,0.671875,0.7472822788980009,0.6658506731946144,0.6868686868686869,0.6460807600950119,14
coarse,val,50,std,mlp,Neural Network,TorchRegularizedHybridNetClassifier,50,0.5,0.5973557692307693,0.6239459981159445,0.5654993514915694,0.6228571428571429,0.517814726840855,15
coarse,val,50,std,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,50,0.5,0.6045673076923077,0.6307424681126503,0.6002430133657352,0.6144278606965174,0.5866983372921615,16
coarse,val,50,std,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,50,0.5,0.5853365384615384,0.6234663152845443,0.5818181818181818,0.594059405940594,0.5700712589073634,22
coarse,val,50,median,mlp,Neural Network,TorchRegularizedHybridNetClassifier,50,0.5,0.6730769230769231,0.7417919332373968,0.6746411483253588,0.6795180722891566,0.669833729216152,25
coarse,val,50,median,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,50,0.5,0.6694711538461539,0.7628921985077819,0.6835443037974683,0.6629464285714286,0.7054631828978623,12
coarse,val,50,median,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,50,0.5,0.6742788461538461,0.7562864457813918,0.6859791425260718,0.669683257918552,0.7030878859857482,19
