task_name,n_recordings
harvard-sentences-list-30-6,3
harvard-sentences-list-30-7,3
harvard-sentences-list-30-8,3
harvard-sentences-list-30-9,3
harvard-sentences-list-40-1,3
harvard-sentences-list-57-2,3
harvard-sentences-list-57-7,3
harvard-sentences-list-57-1,3
harvard-sentences-list-18-2,3
harvard-sentences-list-28-3,3
harvard-sentences-list-28-4,3
harvard-sentences-list-28-5,3
harvard-sentences-list-28-6,3
harvard-sentences-list-28-7,3
harvard-sentences-list-28-8,3
harvard-sentences-list-28-9,3
harvard-sentences-list-18-9,3
harvard-sentences-list-65-3,3
harvard-sentences-list-18-7,3
harvard-sentences-list-18-6,3
harvard-sentences-list-18-5,3
harvard-sentences-list-18-4,3
harvard-sentences-list-18-3,3
harvard-sentences-list-18-8,3
harvard-sentences-list-18-10,3
harvard-sentences-list-64-6,3
harvard-sentences-list-18-1,3
harvard-sentences-list-65-2,3
harvard-sentences-list-65-10,3
harvard-sentences-list-65-1,3
harvard-sentences-list-64-9,3
harvard-sentences-list-64-7,3
harvard-sentences-list-64-8,3
harvard-sentences-list-64-5,3
harvard-sentences-list-64-4,3
harvard-sentences-list-64-3,3
harvard-sentences-list-64-2,3
harvard-sentences-list-64-10,3
harvard-sentences-list-64-1,3
harvard-sentences-list-20-4,2
harvard-sentences-list-34-2,2
harvard-sentences-list-55-8,2
harvard-sentences-list-55-9,2
harvard-sentences-list-20-1,2
harvard-sentences-list-20-10,2
harvard-sentences-list-20-2,2
harvard-sentences-list-20-3,2
harvard-sentences-list-34-10,2
harvard-sentences-list-35-9,2
harvard-sentences-list-20-6,2
harvard-sentences-list-20-7,2
harvard-sentences-list-20-8,2
harvard-sentences-list-20-9,2
harvard-sentences-list-34-1,2
harvard-sentences-list-34-4,2
harvard-sentences-list-34-3,2
harvard-sentences-list-35-8,2
harvard-sentences-list-34-5,2
harvard-sentences-list-38-4,2
harvard-sentences-list-69-1,2
harvard-sentences-list-69-10,2
harvard-sentences-list-69-2,2
harvard-sentences-list-69-3,2
harvard-sentences-list-69-4,2
harvard-sentences-list-69-5,2
harvard-sentences-list-69-6,2
harvard-sentences-list-69-7,2
harvard-sentences-list-69-8,2
harvard-sentences-list-69-9,2
harvard-sentences-list-38-1,2
harvard-sentences-list-38-10,2
harvard-sentences-list-38-2,2
harvard-sentences-list-38-3,2
harvard-sentences-list-38-5,2
